Species group 1,Species group 2,or.slope,or.int,or.r2,lr.slope,lr.int,Pearson's r,p value,Deg. freedom
Nematode Imager,ALGAE,11.578,-11.377,0.526,0.262,0.038,0.15,0.642,10
Nematode Imager,AMPHIBIAN,2.359,-2.836,0.748,0.971,-0.902,0.556,0.252,4
Nematode Imager,FISH,1.995,-1.822,0.75,0.902,-0.181,0.59,0.013,15
Nematode Imager,INVERT,2.498,-2.955,0.815,1.235,-1.131,0.748,0.001,15
Nematode COPAS,ALGAE,2.25,-2.675,0.294,0.207,0.32,0.177,0.024,159
Nematode COPAS,AMPHIBIAN,16.412,-17.766,0.389,0.06,0.657,0.041,0.81,34
Nematode COPAS,FISH,9.001,-11.38,0.369,0.12,0.786,0.088,0.049,502
Nematode COPAS,INVERT,11.492,-15.072,0.449,0.109,0.477,0.073,0.141,411
INVERT,ALGAE,0.655,0.196,0.174,0.159,0.53,0.156,0.066,138
INVERT,AMPHIBIAN,0.759,0.376,0.745,0.653,0.059,0.705,0,34
FISH,ALGAE,1.078,-0.133,0.343,0.318,0.356,0.308,0,151
FISH,AMPHIBIAN,0.776,0.241,0.9,0.761,-0.053,0.861,0,37
FISH,INVERT,1.127,-0.357,0.803,0.84,-0.148,0.764,0,382
ALGAE,AMPHIBIAN,1.135,0.236,0.606,0.613,0.155,0.575,0.012,16
